fgid,before_after,ERA_minus,FIP_minus,K_pct,BB_pct,K_minus_BB_pct,HR_per_9,BAA
72,before,91,109.2,0.132,0.08,0.052,1.048,0.275
105,before,121.8,128.7,0.143,0.092,0.052,1.24,0.273
137,before,106.6,99.7,0.132,0.085,0.047,0.999,0.284
150,before,115.5,104.1,0.142,0.068,0.073,1.335,0.282
287,before,92.9,86.3,0.165,0.042,0.124,1.096,0.254
304,before,80,72,0.333,0.122,0.212,0.76,0.194
410,before,118,101,0.175,0.08,0.095,1.21,0.288
412,before,92.7,93.8,0.131,0.069,0.062,0.747,0.281
430,before,92.6,96.4,0.12,0.086,0.034,0.706,0.268
480,before,121.8,119.3,0.102,0.053,0.049,1.587,0.298
499,before,105.7,113.2,0.092,0.107,-0.015,1.116,0.276
512,before,90.8,93.3,0.21,0.113,0.096,0.765,0.214
521,before,140.4,134.1,0.136,0.089,0.048,1.633,0.306
647,before,111,100.7,0.192,0.103,0.088,1.13,0.252
668,before,129.8,105.2,0.185,0.121,0.063,1.128,0.267
710,before,87.6,92.3,0.183,0.068,0.116,0.992,0.247
740,before,98.7,108.6,0.109,0.066,0.043,1.174,0.262
769,before,110.5,121.5,0.158,0.078,0.08,1.883,0.273
790,before,110.5,111.2,0.123,0.041,0.082,1.456,0.306
824,before,100.4,102.7,0.214,0.078,0.137,1.407,0.25
829,before,83.4,83.9,0.147,0.074,0.074,0.581,0.251
873,before,115.3,114.3,0.125,0.104,0.021,1.223,0.278
921,before,87.7,88.9,0.146,0.069,0.076,0.708,0.256
976,before,105.8,109.8,0.164,0.08,0.084,1.219,0.262
978,before,98.2,109.8,0.149,0.044,0.105,1.252,0.261
982,before,85.3,90,0.182,0.095,0.087,0.867,0.245
1029,before,100.6,104.2,0.184,0.093,0.091,1.212,0.249
1037,before,113.2,116.1,0.149,0.063,0.086,1.78,0.267
1091,before,104.3,111.8,0.14,0.063,0.078,1.284,0.259
1124,before,154.1,137.8,0.108,0.116,-0.007,1.585,0.309
1185,before,96.5,102.2,0.148,0.074,0.073,1.321,0.266
1507,before,110.7,98,0.167,0.072,0.095,0.896,0.277
1528,before,94.8,97.1,0.13,0.083,0.048,0.92,0.257
1653,before,92.3,105.6,0.151,0.094,0.057,1.156,0.235
1657,before,119,134,0.15,0.15,0,1.4,0.237
1773,before,110.4,98.6,0.13,0.071,0.059,0.756,0.29
1882,before,117.2,94.2,0.151,0.071,0.08,0.791,0.276
1890,before,91.5,100.1,0.225,0.112,0.112,0.879,0.225
1994,before,107.2,101.9,0.197,0.074,0.123,1.169,0.277
2233,before,63.5,74,0.226,0.065,0.162,0.625,0.23
2520,before,88,89.7,0.221,0.088,0.134,0.618,0.245
3201,before,61.5,62.2,0.312,0.069,0.244,0.807,0.205
3688,before,86.7,106.7,0.125,0.06,0.065,1.156,0.265
3886,before,103.7,97.5,0.196,0.073,0.123,1.119,0.251
3990,before,96.2,98.3,0.199,0.103,0.096,0.838,0.245
4004,before,87.6,95,0.184,0.085,0.099,0.968,0.241
4338,before,90.5,104.3,0.146,0.094,0.053,0.806,0.272
4505,before,110,84,0.235,0.074,0.161,0.99,0.265
4567,before,80.3,91.5,0.198,0.112,0.086,0.729,0.245
4662,before,112.5,99.8,0.186,0.038,0.148,1.186,0.283
